event_key,mkey,vehicle_num,event_num,event_code,is_defining_event,tier1_name,tier1_num,tier2_name,tier2_num,soe_group,phase_group,silver_loaded_at
44,202243,1,1,152150,True,Standing-engine(s) start-up,152,Fire/smoke (non-impact),150,Fire,Standing,2026-04-03 04:05:44.570293+00:00
45,202191,1,1,400341,True,Enroute,400,Loss of engine power (total),341,System/Component Failure (Powerplant),Enroute,2026-04-03 04:05:44.570293+00:00
46,202226,1,1,400150,True,Enroute,400,Fire/smoke (non-impact),150,Fire,Enroute,2026-04-03 04:05:44.570293+00:00
47,202192,1,1,402192,True,Enroute-cruise,402,Fuel exhaustion,192,Fuel,Enroute,2026-04-03 04:05:44.570293+00:00
48,202218,1,1,400191,True,Enroute,400,Fuel starvation,191,Fuel,Enroute,2026-04-03 04:05:44.570293+00:00
49,202275,1,1,552230,False,Landing-landing roll,552,Loss of control on ground,230,Loss of Control (Ground),Landing,2026-04-03 04:05:44.570293+00:00
50,202275,1,2,552333,True,Landing-landing roll,552,Flight control sys malf/fail,333,System/Component Failure (Non-Powerplant),Landing,2026-04-03 04:05:44.570293+00:00
51,202275,1,3,552300,False,Landing-landing roll,552,Runway excursion,300,Runway Excursion,Landing,2026-04-03 04:05:44.570293+00:00
52,202275,1,4,552093,False,Landing-landing roll,552,Dragged wing/rotor/float/other,093,Abnormal Runway Contact,Landing,2026-04-03 04:05:44.570293+00:00
53,202219,1,2,452220,True,Maneuvering-low-alt flying,452,Low altitude operation/event,220,Low Altitude,Maneuvering,2026-04-03 04:05:44.570293+00:00
54,202219,1,3,452470,False,Maneuvering-low-alt flying,452,Collision with terr/obj (non-CFIT),470,Other,Maneuvering,2026-04-03 04:05:44.570293+00:00
55,202186,1,1,550240,True,Landing,550,Loss of control in flight,240,Loss of Control (Inflight),Landing,2026-04-03 04:05:44.570293+00:00
56,202334,1,1,301330,True,Takeoff-rejected takeoff,301,Sys/Comp malf/fail (non-power),330,System/Component Failure (Non-Powerplant),Takeoff,2026-04-03 04:05:44.570293+00:00
57,202240,1,1,300230,True,Takeoff,300,Loss of control on ground,230,Loss of Control (Ground),Takeoff,2026-04-03 04:05:44.570293+00:00
58,202158,1,2,551095,True,Landing-flare/touchdown,551,Landing gear not configured,095,Abnormal Runway Contact,Landing,2026-04-03 04:05:44.570293+00:00
59,202182,1,1,550370,True,Landing,550,Landing area undershoot,370,Undershoot/Overshoot,Landing,2026-04-03 04:05:44.570293+00:00
60,202185,1,1,450240,True,Maneuvering,450,Loss of control in flight,240,Loss of Control (Inflight),Maneuvering,2026-04-03 04:05:44.570293+00:00
61,202178,1,1,990240,True,Unknown,990,Loss of control in flight,240,Loss of Control (Inflight),Unknown,2026-04-03 04:05:44.570293+00:00
62,202183,1,1,553900,True,Landing-aborted after touchdown,553,Miscellaneous/other,900,,Landing,2026-04-03 04:05:44.570293+00:00
63,202215,1,1,402240,True,Enroute-cruise,402,Loss of control in flight,240,Loss of Control (Inflight),Enroute,2026-04-03 04:05:44.570293+00:00
64,202210,1,1,990341,True,Unknown,990,Loss of engine power (total),341,System/Component Failure (Powerplant),Unknown,2026-04-03 04:05:44.570293+00:00
65,202198,1,1,551092,True,Landing-flare/touchdown,551,Hard landing,092,Abnormal Runway Contact,Landing,2026-04-03 04:05:44.570293+00:00
66,202193,1,1,300900,True,Takeoff,300,Miscellaneous/other,900,,Takeoff,2026-04-03 04:05:44.570293+00:00
67,202172,1,4,551092,True,Landing-flare/touchdown,551,Hard landing,092,Abnormal Runway Contact,Landing,2026-04-03 04:05:44.570293+00:00
68,202172,1,5,551240,False,Landing-flare/touchdown,551,Loss of control in flight,240,Loss of Control (Inflight),Landing,2026-04-03 04:05:44.570293+00:00
69,202172,1,6,550060,False,Landing,550,Attempted remediation/recovery,060,,Landing,2026-04-03 04:05:44.570293+00:00
70,202172,1,7,550300,False,Landing,550,Runway excursion,300,Runway Excursion,Landing,2026-04-03 04:05:44.570293+00:00
71,202172,1,8,550470,False,Landing,550,Collision with terr/obj (non-CFIT),470,Other,Landing,2026-04-03 04:05:44.570293+00:00
72,202257,1,1,404900,True,Enroute-descent,404,Miscellaneous/other,900,,Enroute,2026-04-03 04:05:44.570293+00:00
73,202166,1,1,500240,True,Approach,500,Loss of control in flight,240,Loss of Control (Inflight),Approach,2026-04-03 04:05:44.570293+00:00
74,202173,1,1,402342,True,Enroute-cruise,402,Loss of engine power (partial),342,System/Component Failure (Powerplant),Enroute,2026-04-03 04:05:44.570293+00:00
75,202155,1,1,990341,True,Unknown,990,Loss of engine power (total),341,System/Component Failure (Powerplant),Unknown,2026-04-03 04:05:44.570293+00:00
76,202177,1,1,990470,True,Unknown,990,Collision with terr/obj (non-CFIT),470,Other,Unknown,2026-04-03 04:05:44.570293+00:00
77,202162,1,1,250200,True,Taxi,250,Ground collision,200,Ground Collision,Taxi,2026-04-03 04:05:44.570293+00:00
78,202162,1,2,250402,False,Taxi,250,Loss of visual reference,402,Weather,Taxi,2026-04-03 04:05:44.570293+00:00
79,202162,2,1,250200,True,Taxi,250,Ground collision,200,Ground Collision,Taxi,2026-04-03 04:05:44.570293+00:00
80,202167,1,1,990000,True,Unknown,990,Unknown or undetermined,000,Other,Unknown,2026-04-03 04:05:44.570293+00:00
81,202167,1,2,600240,False,Emergency descent,600,Loss of control in flight,240,Loss of Control (Inflight),Emergency Descent,2026-04-03 04:05:44.570293+00:00
82,202167,1,3,551090,False,Landing-flare/touchdown,551,Abnormal runway contact,090,Abnormal Runway Contact,Landing,2026-04-03 04:05:44.570293+00:00
83,202167,1,4,551231,False,Landing-flare/touchdown,551,Dynamic rollover,231,Loss of Control (Ground),Landing,2026-04-03 04:05:44.570293+00:00
84,202241,1,1,400192,True,Enroute,400,Fuel exhaustion,192,Fuel,Enroute,2026-04-03 04:05:44.570293+00:00
85,202241,1,2,551440,False,Landing-flare/touchdown,551,Off-field or emergency landing,440,Other,Landing,2026-04-03 04:05:44.570293+00:00
86,202150,1,2,350240,True,Initial climb,350,Loss of control in flight,240,Loss of Control (Inflight),Initial Climb,2026-04-03 04:05:44.570293+00:00
87,202150,1,3,450240,False,Maneuvering,450,Loss of control in flight,240,Loss of Control (Inflight),Maneuvering,2026-04-03 04:05:44.570293+00:00
88,202151,1,1,400341,True,Enroute,400,Loss of engine power (total),341,System/Component Failure (Powerplant),Enroute,2026-04-03 04:05:44.570293+00:00
89,202164,1,1,400000,True,Enroute,400,Unknown or undetermined,000,Other,Enroute,2026-04-03 04:05:44.570293+00:00
90,202156,1,1,552300,True,Landing-landing roll,552,Runway excursion,300,Runway Excursion,Landing,2026-04-03 04:05:44.570293+00:00
91,202154,1,2,506341,True,Approach-VFR pattern downwind,506,Loss of engine power (total),341,System/Component Failure (Powerplant),Approach,2026-04-03 04:05:44.570293+00:00
92,202154,1,3,550090,False,Landing,550,Abnormal runway contact,090,Abnormal Runway Contact,Landing,2026-04-03 04:05:44.570293+00:00
93,202154,1,4,550300,False,Landing,550,Runway excursion,300,Runway Excursion,Landing,2026-04-03 04:05:44.570293+00:00
94,202258,1,1,550095,True,Landing,550,Landing gear not configured,095,Abnormal Runway Contact,Landing,2026-04-03 04:05:44.570293+00:00
95,202342,1,2,552300,False,Landing-landing roll,552,Runway excursion,300,Runway Excursion,Landing,2026-04-03 04:05:44.570293+00:00
96,202342,1,3,552094,True,Landing-landing roll,552,Landing gear collapse,094,Abnormal Runway Contact,Landing,2026-04-03 04:05:44.570293+00:00
97,202153,1,1,990341,True,Unknown,990,Loss of engine power (total),341,System/Component Failure (Powerplant),Unknown,2026-04-03 04:05:44.570293+00:00
98,202153,1,2,550441,False,Landing,550,Ditching,441,Other,Landing,2026-04-03 04:05:44.570293+00:00
99,202160,1,1,350330,True,Initial climb,350,Sys/Comp malf/fail (non-power),330,System/Component Failure (Non-Powerplant),Initial Climb,2026-04-03 04:05:44.570293+00:00
100,202345,1,1,552380,True,Landing-landing roll,552,Landing area overshoot,380,Undershoot/Overshoot,Landing,2026-04-03 04:05:44.570293+00:00
101,202145,1,1,551140,True,Landing-flare/touchdown,551,Engine shutdown,140,Other,Landing,2026-04-03 04:05:44.570293+00:00
102,202557,1,1,401341,True,Enroute-climb to cruise,401,Loss of engine power (total),341,System/Component Failure (Powerplant),Enroute,2026-04-03 04:05:44.570293+00:00
103,202152,1,1,251200,True,Taxi-to runway,251,Ground collision,200,Ground Collision,Taxi,2026-04-03 04:05:44.570293+00:00
104,202259,1,1,350000,True,Initial climb,350,Unknown or undetermined,000,Other,Initial Climb,2026-04-03 04:05:44.570293+00:00
105,202148,1,1,400341,True,Enroute,400,Loss of engine power (total),341,System/Component Failure (Powerplant),Enroute,2026-04-03 04:05:44.570293+00:00
106,202570,1,1,500341,True,Approach,500,Loss of engine power (total),341,System/Component Failure (Powerplant),Approach,2026-04-03 04:05:44.570293+00:00
107,202385,1,1,508240,True,Approach-VFR pattern final,508,Loss of control in flight,240,Loss of Control (Inflight),Approach,2026-04-03 04:05:44.570293+00:00
108,202138,1,2,300310,True,Takeoff,300,Wildlife encounter (non-bird),310,Other,Takeoff,2026-04-03 04:05:44.570293+00:00
109,202143,1,2,552093,False,Landing-landing roll,552,Dragged wing/rotor/float/other,093,Abnormal Runway Contact,Landing,2026-04-03 04:05:44.570293+00:00
110,202143,1,3,550240,True,Landing,550,Loss of control in flight,240,Loss of Control (Inflight),Landing,2026-04-03 04:05:44.570293+00:00
